date|event
1816-03-24|Comienza a sesionar el Congreso de Tucumán, que formularía la Declaración de independencia de la Argentina el 9 de julio de ese año, y que años más tarde sancionaría la Constitución Argentina de 1819.
1940-03-24|Fallece el pedagogo porteño Pablo A. Pizzurno, promotor y organizador de la educación primaria en Argentina
1942-03-24|Fallece el médico porteño Manuel Balado, primer docente de neurocirugía en la Universidad de Buenos Aires y autor de la primera descripción del edema crónico del cerebro
1942-03-24|Fallece en su retiro de Don Torcuato el político porteño Marcelo T. de Alvear, líder de la facción antipersonalista de la Unión Cívica Radical y presidente de la Nación entre los dos mandatos de Hipólito Yrigoyen
1976-03-24|Una Junta Militar derroca a la presidente María Estela Martínez de Perón, dando inicio a la dictadura autodenominada Proceso de Reorganización Nacional. En memoria del hecho, la Ley Nº 22.633 decretaría en 2002 la conmemoración del Día Nacional de la Memoria por la Verdad y la Justicia
1752-03-25|Buena parte de la Catedral Metropolitana de Buenos Aires se derrumba; su reconstrucción insumiría 39 años
1903-03-25|El Gobierno decreta la restauración del Regimiento de Granaderos a Caballo, ahora transformado en el Primer Regimiento de Caballería General San Martín; servirán como guardia de honor del Presidente de la Nación
1903-03-25|Se funda el club argentino de fútbol Racing Club, uno de los cinco grandes clubes del futbol argentino;
1923-03-25|La V Conferencia Internacional Americana comienza en Santiago de Chile; concluirá con la firma del Tratado de Gondra, estableciendo un mecanismo para el arreglo de conflictos entre Estados americanos
1941-03-25|Muere por su propia mano el actor, deportista y piloto porteño Florencio Parravicini, célebre humorista
1977-03-25|Es asesinado el periodista y escritor Rodolfo Walsh
1871-03-26|Fallece el político y jurista porteño José Roque Pérez, ministro de Juan Manuel de Rosas y constituyente en el '60, abatido por la epidemia de fiebre amarilla que asola Buenos Aires
1962-03-26|Fallece el físico cordobés José Balseiro, la máxima autoridad en física nuclear argentina
1901-03-27|Nace el compositor y dramaturgo porteño Enrique Santos Discépolo, Discepolín, autor de varios de los tangos más célebres.
1905-03-27|Nace el pintor porteño Raúl Soldi, una de las figuras más destacadas de la plástica de vanguardia nacional, decorador de la cúpula del Teatro Colón.
1945-03-27|Durante la presidencia de Edelmiro Julián Farrell la Argentina les declara la guerra a Alemania y Japón, entrando así a la Segunda Guerra Mundial, apoyando a los Aliados.
1963-03-27|Nace el músico Charly Alberti, futuro integrante de Soda Stereo.
1991-03-27|El Congreso de la Nación Argentina aprueba la Ley de Convertibilidad, fijando la tasa de cambio entre el peso argentino y el dólar estadounidense en 1 a 1.
1838-03-28|Una escuadra francesa bloquea el puerto de Buenos Aires para exigir la libertad de navegación de los ríos argentinos; el bloqueo acabaría con la victoria de la escuadra argentina, comandada por Guillermo Brown, en el combate de la Vuelta de Obligado
1887-03-28|Nace el pintor primitivista catalanoargentino Miguel Antonio Viladrich
1903-03-28|Se comienza a trazar el ferrocarril interamericano que conectaría Buenos Aires y Santiago de Chile con Nueva York y San Francisco, surcando toda América
1985-03-28|Fallece el poeta, traductor y artista plástico Lysandro Galtier, autor de ensayos sobre la bohemia literaria porteña
1993-03-28|Fallece el dramaturgo argentino-venezolano Carlos Giménez
1993-03-28|Fallece el pintor vanguardista porteño Alfredo Hlito, autor de una plástica antifigurativa de suma influencia en el arte argentino
1829-03-29|Fallece el militar potosino Cornelio Saavedra, jefe del Regimiento de Patricios y presidente de la Primera Junta de Gobierno tras la revolución de Mayo
1865-03-29|El mariscal Francisco Solano López, presidente del Paraguay declara la guerra a Argentina y Brasil tras el asedio y destrucción de Paysandú, refugio de sus aliados uruguayos; la guerra será cruenta, larga y dura, y acabará con la destrucción social y económica del Paraguay
1893-03-29|Nace el pintor costumbrista tucumano Alfredo Gramajo Gutiérrez
1919-03-29|Nace el físico cordobés José A. Balseiro
1951-03-29|Un avión argentino al mando del teniente Halfdan Hansen ameriza por primera vez al sur del Círculo Polar, en la base San Martín, en la bahía Margarita
1981-03-29|Reemplazando a Jorge Rafael Videla, Roberto Eduardo Viola asume el mando de facto de la Nación como líder de la Junta Militar
1620-03-30|Por decretal del papa Paulo V se crea la diócesis de Buenos Aires
1793-03-30|Nace el militar, político y estanciero bonaerense Juan Manuel de Rosas, caudillo de la facción federal y gobernador de Buenos Aires al frente de las relaciones exteriores de la República durante varias décadas
1900-03-30|Se reforma el Himno Nacional Argentino, eliminando algunas expresiones que podrían resultar ofensivas a los oídos españoles
1927-03-30|Se realiza la primera comunicación por radio entre la base Orcadas y la ciudad de Ushuaia
1984-03-30|Por causa de un aluvión, un cerro se desmorona sobre el pueblo de Campamento Vespucio, en la provincia de Salta
1839-03-31|Las fuerzas de Pascual Echagüe, leales al caudillo bonaerense Juan Manuel de Rosas, masacran el alzamiento correntino liderado por Genaro Berón de Astrada; tras el combate, degollarían en el campo a Berón de Astrada
1915-03-31|Nace el músico santiagueño Sixto Palavecino, folclorista y difusor del quichua
1947-03-31|Se inaugura el Destacamento Naval Esperanza, en la bahía antártica homónima
1952-03-31|Se inaugura el Destacamento Naval Melchior, en la isla Observatorio
1995-03-31|Fallece el poeta bonaerense Roberto Juarroz, autor de obra conceptual premiada en Argentina y el extranjero, y numerario de la Academia Argentina de Letras
1520-04-01|Los expedicionarios al mando de Hernando de Magallanes celebran en Puerto San Julián la primera misa dicha en suelo argentino.
1801-04-01|El número inicial del Telégrafo Mercantil, un periódico dirigido por el español Francisco Antonio Cabello y Mesa, se publica en Buenos Aires.
1856-04-01|Fallece en Buenos Aires militar porteño Eustoquio Díaz Vélez, general en la Guerra de Independencia.
1888-04-01|Nace el dramaturgo Alberto Vacarezza.
1908-04-01|El padre Lorenzo Massa funda el club de Los Forzosos en el barrio porteño de Almagro, que poco más tarde cambiará su nombre por San Lorenzo de Almagro
1928-04-01|La fórmula del radicalismo, Hipólito Yrigoyen-Francisco Beiró, obtiene 838.583 sufragios y triunfa en las elecciones presidenciales. Suma más votos que el conjunto de todas las restantes agrupaciones, de las cuales las principales son el Frente Unido (Leopoldo Melo-Vicente Gallo, con 414.026 votos) y el Partido Socialista (Mario Bravo-Nicolás Repetto, con 64.985).
1953-04-01|Se funda el destacamento naval Cámara en la isla Media Luna (Shetland del Sur).
1916-04-02|En las primeras elecciones realizadas de acuerdo con la Ley Sáenz Peña, triunfa la fórmula presidida por Hipólito Yrigoyen, candidato de la Unión Cívica Radical.
1922-04-02|Finalizado el mandato de Yrigoyen, Marcelo T. de Alvear, también radical, es electo presidente de la Nación Argentina.
1925-04-02|En La Plata el científico Albert Einstein inaugura el ciclo lectivo del Colegio Nacional Rafael Hernández, tras una breve recorrida por la ciudad.4​
1950-04-02|En su debut en River Plate, el futbolista Walter Botija Gómez hace un gol en el primer minuto del partido.
1965-04-02|Se funda la Base de Avanzada Científica Doctor Sobral, en la zona de la barrera de hielo Filchner; servirá de apoyo a la Expedición destinada al Polo Sur.
1982-04-02|Las fuerzas armadas de Argentina desembarcan en las Islas Malvinas para intentar su recuperación, dando inicio a la Guerra de Malvinas.
1986-04-02|Fallece el pintor bonaerense Carlos Torrallardona, pintor de temas suburbanos, en especial estaciones ferroviarias, mesas de billar y ambientes de tango.
1993-04-02|Fallece el poeta correntino David Martínez, autor de la primera antología de la Generación del '40 y de varios tomos de poesía, incluyendo Ribera sola, Órbita de amor y Resplandor del olvido.
1997-04-02|El sindicato CTERA (Confederación de Trabajadores de la Educación de la República Argentina) instala la carpa blanca en la plaza frente al Congreso de la Nación Argentina, donde se instalarían docentes en huelga de hambre reclamando mejoras salariales.
2013-04-02|una grave inundación en La Plata afecta a casi toda la ciudad, dejando un saldo de más de 200 personas fallecidas.
1588-04-03|Por orden del adelantado Juan Torres de Vera y Aragón, Hernando Arias de Saavedra y Alonso de Vera y Aragón fundan la Ciudad de Vera, luego llamada Corrientes, poblándola con criollos procedentes de Asunción del Paraguay.
1822-04-03|La municipalidad del Perú otorga al general José de San Martín el estandarte de Francisco Pizarro, como agradecimiento por la acción libertadora del militar.
1905-04-03|Se funda el Club Atlético Boca Juniors.
1910-04-03|Se inaugura el túnel trasandino que cruza los Andes, uniendo Argentina y Chile.
1956-04-03|Fallece el escritor, historiador y jurista salteño Carlos Ibarguren, ministro de Justicia e Instrucción Pública, presidente de la Academia Argentina de Letras y autor de varios libros, entre ellos Juan Manuel de Rosas. Su vida, su tiempo, su drama, Estampas de argentinos, La inquietud de esta hora, La historia que he vivido.
2002-04-03|Tiene lugar el secuestro de la tucumana Marita Verón
1812-04-04|El Primer Triunvirato convoca a la Asamblea Legislativa de las Provincias Unidas del Río de la Plata, conocida como Asamblea del Año XIII.
1892-04-04|El Comité Nacional de la Unión Cívica Radical declara la abstención electoral a consecuencia de la prisión de sus principales dirigentes ordenada dos días antes; será la estrategia de rechazo empleada por la UCR contra el fraude electoral hasta bien entrada la Década Infame.
1917-04-04|Un submarino alemán hunde a la goleta mercante argentina Monte Protegido frente a las islas Sorlingas.
1945-04-04|El Movimiento de Intransigencia y Renovación de la Unión Cívica Radical se funda en Avellaneda, con la presencia de Ricardo Balbín, Arturo Frondizi, Moisés Lebensohn, Oscar Alende, Crisólogo Larralde, Rodolfo Rabanal y otros delegados; el documento en el que expresan su programa se conocerá como la declaración de Avellaneda
1964-04-04|Se funda la Universidad Argentina John F. Kennedy.
1979-04-04|Un incendio destruye el Teatro Avenida de Buenos Aires, notable por sus representaciones del género español, en especial la zarzuela. Sería reconstruido años después.
1998-04-04|Tras un prolongado conflicto, la tucumana Florencia Romano es la primera mujer en dirigir un partido de fútbol profesional en Argentina, en el partido de Victoriano Arenas contra Muñiz. Había llegado a encadenarse frente a la sede de la Asociación del Fútbol Argentino para reclamar su derecho a ejercer la profesión.
2007-04-04|La policía asesina al maestro Carlos Fuentealba. El maestro se encontraba reclamando (cortando el punte Cipolletti-Neuquen) por mejores condiciones laborales junto a cientos de compañeros y compañeras cuando el polícia Dario Poblete lanzó una granada al interior del vehículo donde se encontraba Fuentealba. Desde ese día, gran parte de la comunidad educativa argentina reclama que el Día del maestro y de la maestra pase de su actual fecha, 11 de septiembre, al 4 de abril.
1818-04-05|En los llanos de Maipú, en Chile, las fuerzas unidas chilenas y argentinas bajo el mando del general José de San Martín infligen una derrota completa a las tropas realistas, asegurando la definitiva libertad del país transandino.
1840-04-05|Fallece el militar bonaerense Mariano Necochea, alférez del Regimiento de Granaderos a Caballo en el combate de San Lorenzo, general en la Campaña del Alto Perú y luego gran mariscal del Ejército Peruano.
1912-04-05|Nace el pianista y compositor santafesino Carlos Guastavino, autor de obras de amplísima difusión como Se equivocó la paloma y La tempranera.
1915-04-05|Se funda la Caja Nacional de Ahorro Postal, luego Caja Nacional de Ahorro y Seguro, para fomentar el ahorro y la bancarización de las divisas en manos privadas.
1928-04-05|Fallece el escritor y periodista bonaerense Roberto Payró, autor de El casamiento de Laucha, Divertidas aventuras del nieto de Juan Moreira, Pago Chico, Mar dulce y el sainete Mientraiga
1931-04-05|La fórmula radical de Honorio Pueyrredón y Mario Guido triunfa en las elecciones en la provincia de Buenos Aires convocadas por el gobierno dictatorial del general José Félix Uriburu. Anuladas por el dictador, costarán sin embargo el puesto al ministro de Interior, Matías Sánchez Sorondo, y obligarán a Uriburu a convocar a elecciones en las que triunfará Agustín Pedro Justo.
1933-04-05|Se funda en Buenos Aires el Instituto Nacional Sanmartiniano, por iniciativa de José Pacífico Otero.
1852-04-06|El protocolo de Palermo, suscrito por el general Justo José de Urquiza, los gobernadores de Buenos Aires y Corrientes y un representante de la provincia de Santa Fe, inviste a Urquiza como encargado de las relaciones exteriores de la República, y resuelve hacer efectivo el Pacto Federal de 1831.
1932-04-06|La Convención Nacional de la Unión Cívica Radical ratifica la abstención electoral en las elecciones convocadas por José Félix Uriburu, en represalia por la proscripción del yrigoyenismo.
1940-04-06|Se constituye el Movimiento Revisionista del radicalismo en la provincia de Buenos Aires
1951-04-06|Se funda la Estación Científica Almirante Brown, en la bahía Paraíso, Antártida Argentina.
1987-04-06|El papa Juan Pablo II visita por segunda vez la Argentina.
1822-04-07|Se funda en Buenos Aires la Sociedad de Ciencias Físicas y Matemáticas.
1866-04-07|Se funda en Buenos Aires el Colegio de Escribanos.
1891-04-07|Nace la escritora porteña Victoria Ocampo, directora de la revista Sur y el Fondo Nacional de las Artes.
1894-04-07|Aparece en Buenos Aires el primer número del diario socialista La Vanguardia, fundado por el cirujano y político del mismo signo Juan B. Justo.
1912-04-07|Triunfa la Unión Cívica Radical en las elecciones de diputados nacionales en Capital Federal; el hecho presagia su impetuoso avance, que alcanzará su culminación con la elección de Hipólito Yrigoyen como presidente pocos años más tarde.
1999-04-07|Catastrófica inundación en la ciudad de Pergamino, tras tres horas a 55 mm cada 30 min
1999-04-07|El Dalai Lama visita por segunda vez la Argentina y es declarado Ciudadano Ilustre de la Ciudad de Buenos Aires.
1827-04-08|La flota del almirante Guillermo Brown rechaza a las naves brasileñas en el Combate de Monte Santiago.
1871-04-08|Fallece el médico, naturalista y paleontólogo bonaerense Francisco Javier Muñiz, de amplísima obra, al contagiarse de fiebre amarilla prestando servicios durante la epidemia que asolara Buenos Aires. Sentó las bases de la paleontología argentina, descubrió de la rara raza extinta de la vaca ñata, difundió el uso de la vacuna antivariólica y fue autor de un vocabulario criollo y de un estudio sobre el ñandú.
1879-04-08|Sobre unos altos en la costa del río Paraguay, el teniente coronel Luis Jorge Fontana funda la ciudad de Formosa.
1812-04-09|El Triunvirato prohíbe la introducción de esclavos en el territorio de las Provincias Unidas.
1819-04-09|Fallece el abogado salteño Mariano Joaquín Boedo, estrecho colaborador de Martín Miguel de Güemes.
1891-04-09|Nace el aviador tucumano Benjamín Matienzo.
1943-04-09|El clown británico Frank Brown, propietario del circo más importante de Buenos Aires, fallece a los 83 años.
1953-04-09|Fallece por su propia mano Juan Duarte, hermano de Evita y secretario privado del presidente Juan Domingo Perón.
1963-04-09|Fallece el pintor, músico y astrólogo bonaerense Xul Solar, nacido Oscar Agustín Alejandro Schulz Solari. De vasta y heterodoxa cultura, fue una de las personalidades más distintivas de la plástica argentina, fervientemente admirado por Jorge Luis Borges.
1964-04-09|Fallece el pintor santiagueño Ramón Gómez Cornet, llamado "El Precursor de la Pintura Moderna en Argentina" y uno de sus más grandes maestros, quien luego de incursionar en las vanguardias se dedicó a retratar a los seres de su tierra, logrando una pintura expresiva, intimista y personalísima de sobrios y finos colores.
1871-04-10|La fiebre amarilla se cobra la vida del militar, escritor y político porteño Lucio Victorio Mansilla, autor de Una excursión a los indios ranqueles.
1886-04-10|Nace el médico e investigador Mariano Castex.
1887-04-10|Nace el médico, biólogo y fisiólogo Bernardo Houssay, ganador del Premio Nobel de Medicina en 1947. En su honor se instituirá el Día Nacional de la Ciencia y la Técnica.
1888-04-10|Nace el pintor porteño Ceferino Carnacini, autor de escenas porteñas y pampeanas.
1899-04-10|Se constituye la Unión Argentina de Rugby.
1934-04-10|Fallece la primera médica argentina, la porteña Cecilia Grierson, higienista y educadora, fundadora de la primera escuela de enfermeras y el Instituto de Ciegos.
1937-04-10|Fallece el pintor ítalo-argentino Víctor Cúnsolo.
1978-04-10|Fallece la escritora y educadora bonaerense Fryda Shultz de Mantovani.
1982-04-10|Una manifestación congrega unas 300.000 personas en la Plaza de Mayo, respaldando la invasión argentina de Malvinas.
1992-04-10|Se inaugura el actual edificio de la Biblioteca Nacional de Argentina, obra de Clorindo Testa.
1828-04-11|Por orden de Juan Manuel de Rosas, Ramón Estomba y Narciso Parchappe marchan hacia el sur de la provincia de Buenos Aires para fundar Bahía Blanca.
1870-04-11|Seguidores de Ricardo López Jordán asesinan en el Palacio San José, Concepción del Uruguay, a Justo José de Urquiza, ex presidente de la Nación, y sus hijos.
1882-04-11|Nace el pintor impresionista mendocino Fernando Fader.
1916-04-11|Nace el músico y compositor porteño Alberto Ginastera, autor de música académica, incluyendo el ballet Estancia y la ópera Don Rodrigo.
1944-04-11|Nace el remero y nadador porteño Alberto Demiddi, campeón del mundo en 1970 y triunfador en la regata de Henley. En su honor se decretó en el 2003 el día del Remero.
1970-04-11|Aterriza por primera vez un avión de gran porte, un Hércules C-130, en la Base Aérea Vicecomodoro Marambio de la Antartida Argentina.
1991-04-11|Fallece la novelista y cuentista ítalo-argentina Syria Poletti, autora de obras para adultos y niños.
1823-04-12|Por iniciativa de Bernardino Rivadavia, se crea la Sociedad de Beneficencia.
1862-04-12|Victorioso en la Batalla de Pavón, Bartolomé Mitre asume la presidencia de la Nación por la delegación de poderes de las legislaturas provinciales.
1862-04-12|Nace el historiador y sociólogo porteño Juan Agustín García.
1868-04-12|La fórmula del Partido Autonomista, integrada por Domingo Faustino Sarmiento y Adolfo Alsina, triunfa en las elecciones para presidente y vicepresidente de la Nación.
1876-04-12|El coronel Conrado Villegas funda el fortín que sería la base de la ciudad de Trenque Lauquen.
1891-04-12|Se disputan por primera vez partidos oficiales de fútbol en Argentina, jugando el Buenos Ayres F.C. contra Saint Andrew's, y Old Caledonians contra Belgrano F.C.
1942-04-12|Nace Carlos Reutemann, piloto de automovilismo y político santafesino.
1813-04-13|El general oriental José Gervasio Artigas envía a Buenos Aires sus famosas Instrucciones de Santa Fe, indicando a sus diputados un programa federalista para la constitución. La Asamblea del Año XIII, temerosa del ideario, rechazaría a los diputados orientales.
1813-04-13|La Asamblea del Año XIII decreta la acuñación de una moneda propia en Argentina.
1835-04-13|Juan Manuel de Rosas asume por segunda vez la gobernación de Buenos Aires, con la suma del poder público.
1891-04-13|En un acto realizado en el Frontón de Pelota de Buenos Aires, se funda la Unión Cívica Radical bajo la conducción de Leandro N. Alem.
1932-04-13|El navegante solitario Vito Dumas une Francia con Argentina en un viaje de 74 días a través del océano Atlántico, sin compañía alguna.
1937-04-13|Se funda la Escuela de Kinesiología, por iniciativa del doctor Octavio C. Fernández.
1573-04-14|El capitán Juan de Garay parte de Asunción del Paraguay hacia el sur, al mando de una expedición que fundaría Santa Fe y años después Buenos Aires.
1880-04-14|Nace el militar entrerriano José María Sobral, el primer argentino que invernó en la Antártida. Falleció el día de su octogésimo-primer cumpleaños en Gualeguaychú, su ciudad natal.
1909-04-14|Fallece Miguel Ángel Juárez Celman en Arrecifes (provincia de Buenos Aires), presidente de la República en 1886. Juárez Celman nació en Córdoba el 29 de septiembre de 1844.
1968-04-14|Comienza a funcionar la Universidad de la Marina Mercante.
1979-04-14|El boxeador Víctor Galíndez conquista nuevamente el título mundial de los mediopesados, venciendo por KOT a Mike Rossman en Las Vegas.
1907-04-15|Se funda el Club Atlético Unión de la ciudad de Santa Fe.
1910-04-15|Nace el ajedrecista polaco-argentino Miguel Najdorf.
1953-04-15|Estallan dos bombas en la Plaza de Mayo mientras el presidente Juan Domingo Perón da un discurso frente a una manifestación organizada por la CGT; 6 personas resultan muertas, y numerosas heridas.
1953-04-15|Un incendio intencional destruye el edificio del Jockey Club y de la Casa Radical de Buenos Aires.
1977-04-15|Las autoridades del Proceso de Reorganización Nacional detienen al periodista Jacobo Timerman, director del diario La Opinión.
1502-04-16|Américo Vespucio avista por primera vez las islas que luego los marinos del Saint Maló llamarían Malvinas.
1582-04-16|El gobernador de Tucumán, Hernando de Lerma, funda la ciudad de San Felipe de Lerma en el valle de Salta, poblado que luego se llamó Salta.
1973-04-16|Comienza a funcionar la Universidad Nacional de Misiones.
1982-04-16|La CNEA incorpora a su plantel a un destacado técnico justo antes de que este organismo detenga las incorporaciones.
1987-04-16|Comienza la insurrección militar de Semana Santa contra el gobierno de Raúl Alfonsín, liderada por Aldo Rico y Enrique Carlos Venturino.
1815-04-17|En el Fortín de Buenos Aires se arría definitivamente la bandera realista y se iza la celeste y blanca.
1931-04-17|Ante el triunfo radical en la provincia de Buenos Aires, el dictador José Félix Uriburu suspende la convocatoria electoral en las restantes provincias.
1951-04-17|Se crea el Instituto Antártico Argentino, bautizado en honor de Hernán Pujato.
1987-04-17|Nace Federico Frau Barros, periodista argentino.
1860-04-18|Nace el político y escritor cordobés Ramón J. Cárcano, autor de obras como Mis primeros 80 años y Juan Facundo Quiroga.
1930-04-18|Se funda el club deportivo Gimnasia y Esgrima de Jujuy.
1938-04-18|Parte por última vez en viaje de instrucción la Fragata Sarmiento, hoy buque museo.
1951-04-18|El gobierno nacionaliza el periódico La Prensa.
1978-04-18|Se inaugura el complejo hidroeléctrico de Futaleufú, en la provincia del Chubut.
1995-04-18|Fallece el abogado y político radical correntino Arturo Frondizi, presidente de la Nación y fundador del Movimiento de Integración y Desarrollo (MID).
1593-04-19|El conquistador Francisco de Argañaraz y Murguía funda San Salvador de Jujuy.
1822-04-19|Comienza a funcionar en Buenos Aires la Facultad de Medicina de la Universidad de Buenos Aires.
1867-04-19|Nace el periodista, novelista y dramaturgo bonaerense Roberto J. Payró.
1905-04-19|Comienza a gestionarse la transición al castellano de la Argentine Football Association, actual Asociación del Fútbol Argentino.
1987-04-19|Los rebeldes encabezados por Aldo Rico deponen las armas tras reunirse con el presidente Raúl Alfonsín; éste anuncia en los medios que la casa está en orden.
1814-04-20|La escuadra al mando del almirante Guillermo Brown bloquea el puerto de Montevideo.
1915-04-20|Nace el pintor y escultor porteño Santiago Cogorno, formado en Italia y premiado internacionalmente.
1965-04-20|Fallece el diplomático y político socialista porteño Alfredo Palacios. Como legislador impulsó la reglamentación a favor del trabajador, el niño y la mujer; dirigió la Facultad de Derecho y Ciencias Sociales de la Universidad de Buenos Aires y de la Universidad de La Plata.
1971-04-20|Fallece el pintor porteño Mario Darío Grandi, de estilo atrevido y espiritualista.
1822-04-21|En la batalla de Riobamba, 96 granaderos al mando de Juan Galo Lavalle derrotan tropas realistas que los cuadruplican en número.
1915-04-21|Fallece el compositor y payador porteño José Betinoti, autor entre otras piezas de Pobre mi madre querida.
1948-04-21|Fallece el compositor porteño Carlos López Buchardo, autor de numerosa obra de índole folclórica y uno de los fundadores del Conservatorio Nacional de Música y Arte Escénico, del que fue el primer director.
1972-04-21|Fallece el pintor y dibujante marplatense Juan Carlos Castagnino, autor de figuras de pueblo, personajes de tango y las ilustraciones canónicas del Martín Fierro.
1984-04-21|Fallece el escritor y crítico de arte porteño Manuel Mujica Lainez.
1991-04-21|Muere asesinado a los 17 años Walter Bulacio.
1994-04-21|Fallece el pintor porteño Raúl Soldi, una de las figuras más influyentes del arte contemporáneo argentino.
1537-04-22|El fundador de Buenos Aires, Pedro de Mendoza, parte hacia España enfermo; morirá en alta mar.
1779-04-22|Se establece el fuerte de El Carmen de Patagones, base de la ciudad de Viedma, actual capital de la provincia de Río Negro.
1880-04-22|Desde Francia se repatrian los restos mortales del general José de San Martín.
1892-04-22|Tomás Masón funda la ciudad de Santa Rosa, actual capital de la provincia de La Pampa.
1897-04-22|El primer tranvía eléctrico recorre Buenos Aires desde Plaza Italia hasta la esquina de Las Heras y Canning (actual Raúl Scalabrini Ortiz).
1902-04-22|Nace la pintora porteña Raquel Forner, de estilo vigoroso y dramático; el museo instituido con su esposo, el escultor Alfredo Bigatti, conserva lo mejor de su obra.
1978-04-22|Por puntos y en fallo unánime, el boxeador mendocino Hugo Corro derrota a Rodrigo Valdez y se consagra campeón mundial de los medianos.
1962-04-22|Fallece en Friburgo el físico y diplomático polaco-argentino Jacob Laub, corresponsal de Albert Einstein y profesor en la Universidad de La Plata.
1804-04-23|Rafael de Sobremonte, intendente de Córdoba, asume interinamente el virreinato del Río de la Plata; el 6 de octubre recibirá el nombramiento definitivo.
1827-04-23|Juan Galo Lavalle derrota a las fuerzas del imperio del Brasil en la Batalla de Camacuã.
1884-04-23|Eduardo Casey funda Venado Tuerto.
1973-04-23|Se sanciona la Ley 20.296, que da origen a la Universidad Nacional de la Patagonia San Juan Bosco.
1815-04-24|Nace el jurista, político e historiador porteño Vicente Fidel López, autor de una Historia de la República Argentina.
1875-04-24|Fallece la educadora porteña Juana Manso, colaboradora de Domingo Faustino Sarmiento y autora de textos escolares.
1877-04-24|Nace en Palermo, Italia, el médico psiquiatra, escritor y sociólogo José Ingenieros, docente en la Universidad de Buenos Aires y autor de varias obras, entre ellas La evolución de las ideas argentinas y El hombre mediocre.
1883-04-24|En La Plata son encontrados restos óseos humanos al excavar los cimientos de la Casa de Gobierno de la Provincia de Buenos Aires.5​
1916-04-24|Fallece el naturalista y periodista ítalo-argentino Pedro Scalabrini, creador y director del Museo de Paraná y promotor del estudio de la historia natural. Donó sus vastas colecciones al Museo Escolar Sarmiento.
1917-04-24|El presidente Hipólito Yrigoyen interviene la provincia de Buenos Aires debido al fraude electoral, afirmando que la autonomía es de los pueblos, no de los gobiernos.
1943-04-24|Fallece el clown angloargentino Frank Brown, propietario de uno de los circos más espectaculares de América.
1960-04-24|Fallece el compositor santiagueño Andrés Chazarreta, incansable recopilador de música folclórica.
1986-04-24|Fallece en Buenos Aires el escritor y traductor José Bianco, ex secretario de la revista Sur y autor de Las ratas, Sombras suele vestir, La pérdida del reino y Ficción y realidad.
1857-04-25|Se inaugura el primer edificio del Teatro Colón, en la Plaza de Mayo, representando la ópera La traviata, de Giuseppe Verdi.
1863-04-25|Comienza la construcción del Ferrocarril Central Argentino.
1931-04-25|Regresa de su exilio en Europa Marcelo T. de Alvear para enfrentar electoralmente a la Concordancia, rompiendo así con la tradición radical de abstención electoral como protesta contra el fraude.
1957-04-25|Fallece el escritor y humorista porteño Arturo Cancela.
1905-04-26|Se funda el Club Argentino de Ajedrez.
1924-04-26|Nace el escultor y escritor checo-argentino Gyula Kosice. Activo en la vangurdia artística, participó en la revista Arturo, en el movimiento madí, y obtuvo el Primer Premio Internacional de Escultura del Instituto Di Tella.
1949-04-26|Nace el futbolista y director técnico Carlos Bianchi, apodado el Virrey.
1991-04-26|Acusado de consumo, tenencia y suministro de cocaína, el futbolista Diego Maradona es detenido por la división de narcóticos de la Policía Federal Argentina. Tres años después sería sobreseído.
1852-04-27|En la ciudad de Córdoba, la Revolución Unitaria encabezada por el coronel Pizarro derroca al Gobernador Manuel López, quien había estado en el Gobierno desde 1835.
1927-04-27|Nace el actor y humorista argentino Mauricio Borensztein, más conocido por su seudónimo Tato Bores.
1933-04-27|Se estrena la primera película sonora del cine argentino, ¡Tango!, dirigida por Luis José Moglia Barth.
1956-04-27|El general Pedro Eugenio Aramburu, líder de la auto-denominada Revolución Libertadora que derrocara a Juan Domingo Perón, anula la Constitución de 1949 y reimplanta la de 1853 con sus codificaciones.
1948-04-28|Por primera vez el Comité Nacional de la Unión Cívica Radical cuenta con mayoría intransigente, bajo la presidencia de Roberto Parry
1983-04-28|Fallece el médico y folclorista santiagueño Orestes Di Lullo, descubirdor de una enfermedad cutánea causada por la alergia al tanino contenido en el quebracho y recopilador de un Cancionero de Santiago del Estero.
1808-04-29|El Cabildo de Buenos Aires rechaza las pretensiones de Juan VI de Portugal, príncipe regente del imperio del Brasil, de sustituir al frente del Estado a la Corona de España, ocupada por el ejército napoleónico.
1821-04-29|Fallece el jurista, periodista y poeta porteño Domingo de Azcuénaga, autor de fábulas mordaces, y colaborador de El Telégrafo Mercantil. Fundó la Sociedad Literaria del Plata.
1922-04-29|Comienza a regir el Código Penal Argentino, tras su sanción el 30 de septiembre de 1921.
1926-04-29|Fallece el Dr. Ignacio Lucas Albarracin, creador de la sociedad argentina protectora de animales. En su honor el 29 de abril es el Día del animal.
1931-04-29|Nace el pintor y diseñador gráfico porteño Rómulo Macció, de la escuela llamada de la Nueva Figuración.
1932-04-29|Fallece en París el general José Félix Uriburu, exiliado después de dejar el gobierno en manos de Agustín Pedro Justo. Había liderado en 1930 el golpe de estado que derrocó a Hipólito Yrigoyen.
1936-04-29|Nace la poetisa Alejandra Pizarnik, autora de poesía intensamente personal, uno de los más destacados hitos de las letras argentinas en el siglo XX.
1775-04-30|Nace el político y militar porteño Nicolás Rodríguez Peña, uno de los grandes propulsores de la Revolución de Mayo.
1874-04-30|En Lobos, provincia de Buenos Aires, el sargento Víctor Chirino mata al gaucho Juan Moreira.
